step, delta_t, lamb_a, lamb_b, tmax, size, sims, fname, regime
0,1,3.35,3.35,71428.57142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.350/Lambda_b=3.34999990/Tmax=7.142857e+04/Size=50000/surv_prob.dat,active
1,1,3.2750000000000004,3.2750000000000004,142857.14285714287,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.275/Lambda_b=3.27500010/Tmax=1.428571e+05/Size=50000/surv_prob.dat,inactive
2,1,3.3125,3.3125,214285.71428571432,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.312/Lambda_b=3.31250000/Tmax=2.142857e+05/Size=50000/surv_prob.dat,active
3,1,3.29375,3.29375,285714.28571428574,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.294/Lambda_b=3.29375005/Tmax=2.857143e+05/Size=50000/surv_prob.dat,inactive
4,1,3.303125,3.303125,357142.85714285716,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.303/Lambda_b=3.30312490/Tmax=3.571429e+05/Size=50000/surv_prob.dat,active
5,1,3.2984375000000004,3.2984375000000004,428571.42857142864,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29843760/Tmax=4.285714e+05/Size=50000/surv_prob.dat,active
6,1,3.2960937500000003,3.2960937500000003,500000.00000000006,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.296/Lambda_b=3.29609370/Tmax=5.000000e+05/Size=50000/surv_prob.dat,inactive
7,1,3.2972656250000005,3.2972656250000005,571428.5714285715,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.297/Lambda_b=3.29726553/Tmax=5.714286e+05/Size=50000/surv_prob.dat,inactive
8,1,3.2978515625000004,3.2978515625000004,642857.142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29785156/Tmax=6.428571e+05/Size=50000/surv_prob.dat,inactive
9,1,3.29814453125,3.29814453125,714285.7142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29814458/Tmax=7.142857e+05/Size=50000/surv_prob.dat,active
10,1,3.2979980468750005,3.2979980468750005,785714.2857142858,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29799795/Tmax=7.857143e+05/Size=50000/surv_prob.dat,active
11,1,3.2979248046875007,3.2979248046875007,857142.8571428573,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29792476/Tmax=8.571429e+05/Size=50000/surv_prob.dat,inactive
12,1,3.2979614257812506,3.2979614257812506,928571.4285714286,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29796147/Tmax=9.285714e+05/Size=50000/surv_prob.dat,active
13,1,3.297943115234376,3.297943115234376,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29794312/Tmax=1.000000e+06/Size=50000/surv_prob.dat,active
13,1,3.297943115234376,3.2979339599609383,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=0/Delta_t=1.00/Lambda_a=3.298/Lambda_b=3.29793406/Tmax=1.000000e+06/Size=50000/surv_prob.dat,crit
