0.000000,1.000000
0.841707,1.000000
1.663554,0.687468
2.130679,0.611055
2.560573,0.585201
2.956456,0.558966
3.339473,0.539735
3.708936,0.522669
4.063739,0.506750
4.412140,0.493377
4.741657,0.482934
5.072197,0.475038
5.386049,0.466887
5.685558,0.458355
5.985570,0.449949
6.279608,0.443199
6.571706,0.437978
6.857373,0.432883
7.135381,0.428171
7.415532,0.426006
7.674091,0.420148
7.936010,0.414926
8.197102,0.410341
8.450504,0.404738
8.720412,0.402955
8.968442,0.399643
9.211145,0.395823
9.440487,0.391365
9.686486,0.388818
9.928912,0.386653
10.169321,0.383851
10.407782,0.380413
10.626746,0.377101
10.856629,0.374427
11.089161,0.373281
11.302534,0.370479
11.533804,0.367550
11.765252,0.366531
11.977615,0.363729
12.203189,0.361819
12.410373,0.358635
12.643131,0.357361
12.876779,0.356470
13.095972,0.353413
13.324371,0.351758
13.568214,0.351121
13.802215,0.349210
14.046332,0.348446
14.278816,0.346918
14.503240,0.344626
14.744785,0.343097
14.974690,0.340805
15.203419,0.339277
15.429704,0.338258
15.654260,0.336220
15.898950,0.334692
16.124491,0.332909
16.393821,0.331253
16.649773,0.330489
16.899341,0.328833
17.151219,0.327433
17.430828,0.325904
17.683410,0.323102
17.951484,0.320301
18.211821,0.318008
18.475753,0.315206
18.727123,0.312659
18.999169,0.311004
19.291881,0.309348
19.590275,0.308584
19.882528,0.306928
20.161016,0.305018
20.438422,0.302853
20.713255,0.300560
21.011541,0.299414
21.315385,0.297376
21.617687,0.295593
21.928579,0.294829
22.243323,0.293556
22.558370,0.292792
22.884910,0.290754
23.211152,0.290245
23.545763,0.289353
23.863296,0.287188
24.213040,0.286296
24.567516,0.286169
24.927013,0.285532
25.297216,0.284004
25.669142,0.282221
26.023996,0.280693
26.380941,0.279037
26.728477,0.277891
27.109172,0.277382
27.461637,0.275471
27.853432,0.275217
28.246675,0.274834
28.608582,0.272797
28.976409,0.271268
29.383138,0.270250
29.802589,0.269740
30.205812,0.268467
30.602111,0.266811
30.992110,0.264264
31.426401,0.263882
31.874772,0.263500
32.285520,0.262226
32.677824,0.258915
33.129341,0.258278
33.563941,0.257259
34.043495,0.257005
34.544440,0.255476
34.996427,0.254330
35.437284,0.252292
35.887579,0.250255
36.360308,0.248726
36.886708,0.247326
37.390361,0.246434
37.870757,0.244524
38.391873,0.242741
38.929757,0.240576
39.432423,0.237646
39.995050,0.236755
40.534718,0.236373
41.047333,0.234335
41.629179,0.233444
42.202615,0.232934
42.679538,0.230642
43.298450,0.229241
43.882675,0.227967
44.463883,0.226949
45.083837,0.226821
45.715150,0.225548
46.336355,0.224656
46.966785,0.224147
47.631382,0.223128
48.318096,0.220835
48.947935,0.218925
49.551823,0.217269
50.213624,0.217015
50.779920,0.213831
51.475086,0.213067
52.206410,0.212303
52.913564,0.211156
53.703837,0.209119
54.373791,0.207590
55.055277,0.205425
55.852275,0.204024
56.620435,0.203388
57.375851,0.201350
58.169602,0.200841
58.957121,0.200076
59.799997,0.198293
60.662980,0.197147
61.399340,0.196001
62.130457,0.192817
63.014639,0.191544
63.811985,0.189888
64.639015,0.188614
65.462166,0.186449
66.294085,0.183647
67.175902,0.181864
67.996116,0.179190
68.758854,0.177280
69.578015,0.175624
70.448184,0.174223
71.397580,0.173204
72.301102,0.171294
73.169093,0.169766
74.146460,0.168110
75.143401,0.164162
76.061593,0.162761
77.173971,0.161360
78.336743,0.159450
79.275067,0.157157
80.264688,0.155247
81.258558,0.152827
82.416223,0.151808
83.485044,0.149643
84.618628,0.148497
85.771097,0.147988
86.963623,0.144804
88.066537,0.143403
89.402945,0.142384
90.468318,0.140219
91.772371,0.139455
93.065913,0.138691
94.302698,0.136908
95.722993,0.135762
96.678377,0.133469
97.997526,0.131814
99.452783,0.129776
101.045131,0.126847
102.705070,0.123790
104.098925,0.122899
105.513965,0.120734
106.789804,0.119969
108.404548,0.118441
109.841746,0.117422
111.614022,0.115003
112.926443,0.113220
114.568038,0.112455
116.112794,0.111182
117.949149,0.109654
119.806761,0.108635
121.543294,0.106470
123.122534,0.104687
124.536542,0.103286
125.816299,0.101630
127.546232,0.100611
129.222410,0.099975
130.207150,0.097555
132.324377,0.094116
133.978768,0.092843
135.803935,0.090168
137.562521,0.088385
139.216275,0.086602
140.702133,0.085329
142.480326,0.084819
144.425212,0.083291
145.893099,0.081381
148.371870,0.079215
150.050653,0.078069
151.919573,0.077560
153.764625,0.076414
155.950670,0.076032
157.797385,0.075140
159.668451,0.073612
161.457122,0.072211
163.835950,0.070301
166.272977,0.069791
168.300142,0.068900
170.642777,0.066989
173.253245,0.065716
175.866402,0.064187
178.806074,0.062914
181.593239,0.062022
184.227675,0.061131
186.211110,0.059093
188.321280,0.058074
190.992680,0.057438
193.335943,0.056801
195.267176,0.054636
197.961571,0.054508
200.374836,0.053490
202.921724,0.052598
205.003797,0.050815
205.784943,0.048523
208.497536,0.047759
210.258719,0.045593
213.042658,0.043938
215.566988,0.043301
217.059369,0.041773
220.500702,0.040499
223.342871,0.040245
225.747721,0.038844
228.358372,0.038334
230.064250,0.037443
231.948027,0.036551
235.263291,0.036296
236.521297,0.034259
240.098391,0.033749
243.594257,0.032476
246.469439,0.031839
248.624204,0.030948
252.959354,0.029419
256.543664,0.028400
260.682076,0.028018
262.432660,0.026999
268.070259,0.024707
271.979702,0.024580
276.613822,0.023816
280.342982,0.023816
286.271894,0.022287
291.017581,0.020886
298.237646,0.019868
302.221245,0.019358
304.559062,0.019103
305.833082,0.018721
305.490118,0.017320
310.580853,0.017066
