step, delta_t, lamb_a, lamb_b, tmax, size, sims, fname, regime
0,1,1.3,64.75,71428.57142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=64.75000000/Tmax=7.142857e+04/Size=50000/surv_prob.dat,active
1,1,1.3,57.125,142857.14285714287,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=57.12500000/Tmax=1.428571e+05/Size=50000/surv_prob.dat,active
2,1,1.3,53.3125,214285.71428571432,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.31250000/Tmax=2.142857e+05/Size=50000/surv_prob.dat,active
3,1,1.3,51.40625,285714.28571428574,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=51.40625000/Tmax=2.857143e+05/Size=50000/surv_prob.dat,active
4,1,1.3,50.453125,357142.85714285716,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=50.45312500/Tmax=3.571429e+05/Size=50000/surv_prob.dat,active
5,1,1.3,49.9765625,428571.42857142864,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.97656250/Tmax=4.285714e+05/Size=50000/surv_prob.dat,active
6,1,1.3,49.73828125,500000.00000000006,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.73828125/Tmax=5.000000e+05/Size=50000/surv_prob.dat,active
7,1,1.3,49.619140625,571428.5714285715,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.61914062/Tmax=5.714286e+05/Size=50000/surv_prob.dat,inactive
8,1,1.3,49.6787109375,642857.142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.67871094/Tmax=6.428571e+05/Size=50000/surv_prob.dat,active
9,1,1.3,49.64892578125,714285.7142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.64892578/Tmax=7.142857e+05/Size=50000/surv_prob.dat,inactive
10,1,1.3,49.663818359375,785714.2857142858,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.66381836/Tmax=7.857143e+05/Size=50000/surv_prob.dat,inactive
11,1,1.3,49.6712646484375,857142.8571428573,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.67126465/Tmax=8.571429e+05/Size=50000/surv_prob.dat,inactive
12,1,1.3,49.67498779296875,928571.4285714286,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.67498779/Tmax=9.285714e+05/Size=50000/surv_prob.dat,inactive
13,1,1.3,49.676849365234375,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.67684937/Tmax=1.000000e+06/Size=50000/surv_prob.dat,inactive
13,1,1.3,49.67778015136719,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=3/Delta_t=1.00/Lambda_a=1.300/Lambda_b=49.67778015/Tmax=1.000000e+06/Size=50000/surv_prob.dat,crit
