step, delta_t, lamb_a, lamb_b, tmax, size, sims, fname, regime
0,1,2.5,5.5,71428.57142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.50000000/Tmax=7.142857e+04/Size=50000/surv_prob.dat,inactive
1,1,2.5,6.75,142857.14285714287,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=6.75000000/Tmax=1.428571e+05/Size=50000/surv_prob.dat,active
2,1,2.5,6.125,214285.71428571432,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=6.12500000/Tmax=2.142857e+05/Size=50000/surv_prob.dat,active
3,1,2.5,5.8125,285714.28571428574,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.81250000/Tmax=2.857143e+05/Size=50000/surv_prob.dat,inactive
4,1,2.5,5.96875,357142.85714285716,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.96875000/Tmax=3.571429e+05/Size=50000/surv_prob.dat,active
5,1,2.5,5.890625,428571.42857142864,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89062500/Tmax=4.285714e+05/Size=50000/surv_prob.dat,inactive
6,1,2.5,5.9296875,500000.00000000006,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.92968750/Tmax=5.000000e+05/Size=50000/surv_prob.dat,active
7,1,2.5,5.91015625,571428.5714285715,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.91015625/Tmax=5.714286e+05/Size=50000/surv_prob.dat,active
8,1,2.5,5.900390625,642857.142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.90039062/Tmax=6.428571e+05/Size=50000/surv_prob.dat,active
9,1,2.5,5.8955078125,714285.7142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89550781/Tmax=7.142857e+05/Size=50000/surv_prob.dat,active
10,1,2.5,5.89306640625,785714.2857142858,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89306641/Tmax=7.857143e+05/Size=50000/surv_prob.dat,active
11,1,2.5,5.891845703125,857142.8571428573,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89184570/Tmax=8.571429e+05/Size=50000/surv_prob.dat,active
12,1,2.5,5.8912353515625,928571.4285714286,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89123535/Tmax=9.285714e+05/Size=50000/surv_prob.dat,inactive
13,1,2.5,5.89154052734375,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89154053/Tmax=1.000000e+06/Size=50000/surv_prob.dat,inactive
13,1,2.5,5.891693115234375,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=1/Delta_t=1.00/Lambda_a=2.500/Lambda_b=5.89169312/Tmax=1.000000e+06/Size=50000/surv_prob.dat,crit
