step, delta_t, lamb_a, lamb_b, tmax, size, sims, fname, regime
0,1,1.3,150.0,71428.57142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=150.00000000/Tmax=7.142857e+04/Size=50000/surv_prob.dat,inactive
1,1,1.3,175.0,142857.14285714287,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=175.00000000/Tmax=1.428571e+05/Size=50000/surv_prob.dat,inactive
2,1,1.3,187.5,214285.71428571432,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=187.50000000/Tmax=2.142857e+05/Size=50000/surv_prob.dat,inactive
3,1,1.3,193.75,285714.28571428574,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=193.75000000/Tmax=2.857143e+05/Size=50000/surv_prob.dat,inactive
4,1,1.3,196.875,357142.85714285716,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=196.87500000/Tmax=3.571429e+05/Size=50000/surv_prob.dat,inactive
5,1,1.3,198.4375,428571.42857142864,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=198.43750000/Tmax=4.285714e+05/Size=50000/surv_prob.dat,inactive
6,1,1.3,199.21875,500000.00000000006,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.21875000/Tmax=5.000000e+05/Size=50000/surv_prob.dat,inactive
7,1,1.3,199.609375,571428.5714285715,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.60937500/Tmax=5.714286e+05/Size=50000/surv_prob.dat,inactive
8,1,1.3,199.8046875,642857.142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.80468750/Tmax=6.428571e+05/Size=50000/surv_prob.dat,inactive
9,1,1.3,199.90234375,714285.7142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.90234375/Tmax=7.142857e+05/Size=50000/surv_prob.dat,inactive
10,1,1.3,199.951171875,785714.2857142858,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.95117188/Tmax=7.857143e+05/Size=50000/surv_prob.dat,inactive
11,1,1.3,199.9755859375,857142.8571428573,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.97558594/Tmax=8.571429e+05/Size=50000/surv_prob.dat,inactive
12,1,1.3,199.98779296875,928571.4285714286,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.98779297/Tmax=9.285714e+05/Size=50000/surv_prob.dat,inactive
13,1,1.3,199.993896484375,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.99389648/Tmax=1.000000e+06/Size=50000/surv_prob.dat,inactive
13,1,1.3,199.9969482421875,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=2/Delta_t=1.00/Lambda_a=1.300/Lambda_b=199.99694824/Tmax=1.000000e+06/Size=50000/surv_prob.dat,crit
